role,contestant_season_id,contestant_id,season_id,season_round_id,level,current_is_active,contestant_round_id,classification,reason,joined_at,created_at,updated_at
DEACTIVATE,5015,46,8,4,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-01 00:04:16.989189,2026-05-01 00:04:16.982579,2026-05-01 00:04:16.982579
DEACTIVATE,17143,46,267,28,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 12:08:16.976922,2026-09-03 12:08:16.962694,2026-09-03 12:08:16.962694
DEACTIVATE,14193,48,261,4,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 13:04:24.665956,2026-07-01 00:05:22.162524,2026-09-03 13:04:07.238422
DEACTIVATE,15811,48,265,21,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 13:04:15.377171,2026-08-01 02:38:44.536171,2026-09-03 13:04:07.238422
DEACTIVATE,5016,50,8,4,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-01 00:04:17.006858,2026-05-01 00:04:17.000626,2026-05-01 00:04:17.000626
DEACTIVATE,17175,50,267,28,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 12:08:17.296697,2026-09-03 12:08:17.282014,2026-09-03 12:08:17.282014
DEACTIVATE,5022,54,8,4,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-01 00:04:17.026205,2026-05-01 00:04:17.019614,2026-05-01 00:04:17.019614
DEACTIVATE,17188,54,267,28,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 12:08:17.370948,2026-09-03 12:08:17.355580,2026-09-03 12:08:17.355580
DEACTIVATE,5455,54,245,1,regional,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-02 01:48:58.524845,2026-05-01 23:55:32.895425,2026-05-02 01:48:58.468680
DEACTIVATE,9134,58,8,4,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-12 11:23:43.919960,2026-05-12 11:23:43.294222,2026-05-12 11:23:43.294222
DEACTIVATE,17241,58,267,28,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 12:08:17.897027,2026-09-03 12:08:17.881411,2026-09-03 12:08:17.881411
DEACTIVATE,4643,62,8,4,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-01 00:04:15.736968,2026-05-01 00:04:15.729002,2026-05-01 00:04:15.729002
DEACTIVATE,17224,62,267,28,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 12:08:17.508397,2026-09-03 12:08:17.495499,2026-09-03 12:08:17.495499
DEACTIVATE,4739,66,8,4,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-01 00:04:15.927200,2026-05-01 00:04:15.921036,2026-05-01 00:04:15.921036
DEACTIVATE,17171,66,267,28,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 12:08:17.131856,2026-09-03 12:08:17.119183,2026-09-03 12:08:17.119183
