role,contestant_season_id,contestant_id,season_id,season_round_id,level,current_is_active,contestant_round_id,classification,reason,joined_at,created_at,updated_at
EXCLUDED,5514,46,249,1,continent,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 01:03:06.618122,2026-05-02 00:27:55.657731,2026-05-31 01:03:06.581810
EXCLUDED,9834,46,252,2,continent,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 00:03:10.673629,2026-05-31 00:03:10.645478,2026-05-31 00:03:10.645478
EXCLUDED,10407,46,241,4,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_ALL_ACTIVE_MEMBERSHIPS_FOREIGN,no active membership in authoritative round 3; winner never chosen,2026-05-31 00:03:17.418238,2026-05-31 00:03:17.260741,2026-05-31 00:03:17.260741
EXCLUDED,13204,46,253,21,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_ALL_ACTIVE_MEMBERSHIPS_FOREIGN,no active membership in authoritative round 3; winner never chosen,2026-06-30 00:20:13.372893,2026-06-30 00:20:13.331948,2026-06-30 00:20:13.331948
EXCLUDED,15009,46,255,26,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_ALL_ACTIVE_MEMBERSHIPS_FOREIGN,no active membership in authoritative round 3; winner never chosen,2026-07-31 00:04:53.680376,2026-07-31 00:04:51.003415,2026-07-31 00:04:51.003415
EXCLUDED,18265,46,257,27,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_ALL_ACTIVE_MEMBERSHIPS_FOREIGN,no active membership in authoritative round 3; winner never chosen,2026-09-03 12:08:37.801299,2026-09-03 12:08:37.568833,2026-09-03 12:08:37.568833
EXCLUDED,5515,50,249,1,continent,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 01:03:06.714259,2026-05-02 00:27:55.657731,2026-05-31 01:03:06.675025
EXCLUDED,9851,50,252,2,continent,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 00:03:10.773679,2026-05-31 00:03:10.721837,2026-05-31 00:03:10.721837
EXCLUDED,10414,50,241,4,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_ALL_ACTIVE_MEMBERSHIPS_FOREIGN,no active membership in authoritative round 3; winner never chosen,2026-05-31 00:03:17.479499,2026-05-31 00:03:17.441354,2026-05-31 00:03:17.441354
EXCLUDED,13220,50,253,21,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_ALL_ACTIVE_MEMBERSHIPS_FOREIGN,no active membership in authoritative round 3; winner never chosen,2026-06-30 00:20:13.449416,2026-06-30 00:20:13.394348,2026-06-30 00:20:13.394348
EXCLUDED,15025,50,255,26,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_ALL_ACTIVE_MEMBERSHIPS_FOREIGN,no active membership in authoritative round 3; winner never chosen,2026-07-31 00:05:02.866787,2026-07-31 00:04:53.805014,2026-07-31 00:04:53.805014
EXCLUDED,18281,50,257,27,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_ALL_ACTIVE_MEMBERSHIPS_FOREIGN,no active membership in authoritative round 3; winner never chosen,2026-09-03 12:08:46.911180,2026-09-03 12:08:37.839238,2026-09-03 12:08:37.839238
EXCLUDED,8427,54,249,1,continent,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-02 01:35:11.433660,2026-05-02 01:35:11.380109,2026-05-02 01:35:11.380109
EXCLUDED,9879,54,252,2,continent,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 00:03:10.926315,2026-05-31 00:03:10.849709,2026-05-31 00:03:10.849709
EXCLUDED,10424,54,241,4,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_ALL_ACTIVE_MEMBERSHIPS_FOREIGN,no active membership in authoritative round 3; winner never chosen,2026-05-31 00:03:17.567322,2026-05-31 00:03:17.504839,2026-05-31 00:03:17.504839
EXCLUDED,13238,54,253,21,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_ALL_ACTIVE_MEMBERSHIPS_FOREIGN,no active membership in authoritative round 3; winner never chosen,2026-06-30 00:20:13.563965,2026-06-30 00:20:13.464732,2026-06-30 00:20:13.464732
