role,contestant_season_id,contestant_id,season_id,season_round_id,level,current_is_active,contestant_round_id,classification,reason,joined_at,created_at,updated_at
KEEP,60,46,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-03-10 11:44:29.737909,2026-03-10 11:44:29.737909,2026-03-10 11:44:29.737909
KEEP,12790,48,254,3,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-07-01 00:05:33.161108,2026-06-18 13:39:50.754598,2026-07-01 00:05:33.134974
KEEP,64,50,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-03-10 11:44:29.737909,2026-03-10 11:44:29.737909,2026-03-10 11:44:29.737909
KEEP,68,54,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-03-10 11:44:29.737909,2026-03-10 11:44:29.737909,2026-03-10 11:44:29.737909
KEEP,5261,54,239,3,regional,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-01 23:55:20.726066,2026-05-01 23:55:20.639869,2026-05-01 23:55:20.639869
KEEP,72,58,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.466769,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.459943
KEEP,76,62,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.253819,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.245592
KEEP,80,66,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.477855,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.471214
KEEP,84,70,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.349746,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.342274
KEEP,88,74,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.489099,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.482605
KEEP,92,78,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.499870,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.493507
KEEP,96,82,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.510856,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.504420
KEEP,100,86,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.521827,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.515548
KEEP,11688,88,254,3,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-07-01 00:05:33.703507,2026-06-01 08:27:57.398254,2026-07-01 00:05:33.647834
KEEP,104,90,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.532871,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.526257
KEEP,108,94,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.543935,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.537318
KEEP,11704,96,254,3,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-07-01 00:05:33.791123,2026-06-01 08:27:57.499843,2026-07-01 00:05:33.769945
KEEP,112,98,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.554121,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.548108
KEEP,116,102,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.564513,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.558495
KEEP,122,108,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.578374,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.569579
KEEP,11722,110,254,3,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-07-01 00:05:33.952337,2026-06-01 08:27:57.641621,2026-07-01 00:05:33.928191
KEEP,126,112,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.591831,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.584832
KEEP,128,114,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.603062,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.596674
KEEP,132,118,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.615333,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.607985
KEEP,136,122,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.627454,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.620530
KEEP,11743,124,254,3,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-07-01 00:05:34.174051,2026-06-01 08:27:57.792152,2026-07-01 00:05:34.135487
KEEP,11751,126,254,3,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-07-01 00:05:34.237978,2026-06-01 08:27:57.851939,2026-07-01 00:05:34.187149
KEEP,142,128,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.325229,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.316202
KEEP,144,130,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.639114,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.632324
KEEP,11763,132,254,3,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-07-01 00:05:34.287257,2026-06-01 08:27:57.902534,2026-07-01 00:05:34.250757
KEEP,148,134,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.651909,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.643430
KEEP,11770,136,254,3,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-07-01 00:05:34.344872,2026-06-01 08:27:57.948951,2026-07-01 00:05:34.299706
KEEP,152,138,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.666651,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.657154
