top_high5_result_id,contestant_id,contest_id,level,round_id,jurisdiction,rank,migrated,reason
119,1206,86,regional,21,East Africa,1,True,EXCLUDED_ZERO_MATCH
121,1137,86,regional,21,East Africa,3,True,EXCLUDED_ZERO_MATCH
186,1208,190,regional,21,East Africa,1,True,EXCLUDED_ZERO_MATCH
188,1116,190,regional,21,East Africa,3,True,EXCLUDED_ZERO_MATCH
189,1120,192,regional,21,East Africa,1,True,EXCLUDED_ZERO_MATCH
191,1207,192,regional,21,East Africa,3,True,EXCLUDED_ZERO_MATCH
196,788,213,regional,21,East Africa,3,True,EXCLUDED_ZERO_MATCH
197,833,213,regional,21,East Africa,4,True,EXCLUDED_ZERO_MATCH
198,1222,213,regional,21,East Africa,5,True,EXCLUDED_ZERO_MATCH
199,913,213,regional,21,West Africa,1,True,EXCLUDED_ZERO_MATCH
201,772,215,regional,21,East Africa,2,True,EXCLUDED_ZERO_MATCH
204,1221,215,regional,21,East Africa,5,True,EXCLUDED_ZERO_MATCH
206,931,219,regional,21,West Africa,1,True,EXCLUDED_ZERO_MATCH
207,929,219,regional,21,West Africa,2,True,EXCLUDED_ZERO_MATCH
208,934,219,regional,21,East Africa,1,True,EXCLUDED_ZERO_MATCH
209,953,219,regional,21,East Africa,2,True,EXCLUDED_ZERO_MATCH
211,928,219,regional,21,East Africa,4,True,EXCLUDED_ZERO_MATCH
214,1184,228,regional,21,East Africa,1,True,EXCLUDED_ZERO_MATCH
215,1189,228,regional,21,East Africa,2,True,EXCLUDED_ZERO_MATCH
216,1235,228,regional,21,East Africa,3,True,EXCLUDED_ZERO_MATCH
217,1202,228,regional,21,East Africa,4,True,EXCLUDED_ZERO_MATCH
218,1057,9,continent,21,Asia,1,False,EXCLUDED_OTHER_DEFECT_CLASS
219,1062,9,continent,21,Africa,1,False,EXCLUDED_OTHER_DEFECT_CLASS
220,1050,9,continent,21,Africa,2,False,EXCLUDED_OTHER_DEFECT_CLASS
225,971,11,continent,21,Africa,5,False,EXCLUDED_ZERO_MATCH
230,1149,15,continent,21,Africa,1,False,EXCLUDED_ZERO_MATCH
233,679,15,continent,21,Africa,4,False,EXCLUDED_ZERO_MATCH
235,1169,17,continent,21,Africa,1,False,EXCLUDED_ZERO_MATCH
241,555,19,continent,21,Africa,4,False,EXCLUDED_ZERO_MATCH
243,1167,21,continent,21,Africa,1,False,EXCLUDED_ZERO_MATCH
249,1147,25,continent,21,Africa,1,False,EXCLUDED_ZERO_MATCH
