top_high5_result_id,contestant_id,contest_id,level,round_id,jurisdiction,rank,score,total_votes,migrated,reason
43,1109,23,regional,21,East Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
221,1043,11,continent,21,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
248,1109,23,continent,21,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
279,1067,137,continent,21,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
280,1051,137,continent,21,Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
281,1042,137,continent,21,Africa,3,0,0,True,AUTHORITATIVE_COHORT_RESULT
288,1095,179,continent,21,Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
289,1083,179,continent,21,Africa,3,0,0,True,AUTHORITATIVE_COHORT_RESULT
290,1081,179,continent,21,Africa,4,0,0,True,AUTHORITATIVE_COHORT_RESULT
291,1079,179,continent,21,Africa,5,0,0,True,AUTHORITATIVE_COHORT_RESULT
292,1069,181,continent,21,Africa,1,5,1,True,AUTHORITATIVE_COHORT_RESULT
293,1070,183,continent,21,Africa,1,5,1,True,AUTHORITATIVE_COHORT_RESULT
294,1104,185,continent,21,Africa,1,5,1,True,AUTHORITATIVE_COHORT_RESULT
1019,88,23,regional,3,West Africa,1,2,1,True,AUTHORITATIVE_COHORT_RESULT
1025,96,27,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1033,110,34,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1053,124,41,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1055,459,42,regional,3,East Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
1056,126,42,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1059,501,45,regional,3,East Africa,3,4,1,True,AUTHORITATIVE_COHORT_RESULT
1060,132,45,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1061,136,47,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1062,552,49,regional,3,East Africa,1,10,2,True,AUTHORITATIVE_COHORT_RESULT
1063,514,49,regional,3,East Africa,2,4,1,True,AUTHORITATIVE_COHORT_RESULT
1064,140,49,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1065,144,51,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1066,148,53,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1067,152,55,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1068,156,57,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1069,572,59,regional,3,East Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1070,557,59,regional,3,East Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
1071,160,59,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1072,164,61,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1073,559,62,regional,3,East Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1074,166,62,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1075,170,64,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1076,504,64,regional,3,East Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1077,174,66,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1078,178,68,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1079,182,70,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1080,186,72,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1081,589,74,regional,3,West Africa,1,5,1,True,AUTHORITATIVE_COHORT_RESULT
